timestamp,AAVE,ADA,BTC,DOGE,ETH,SOL
2023-02-01 15:00:00+00:00,0,0,0,1,0,0
2023-02-02 06:00:00+00:00,0,0,0,1,1,0
2023-02-02 12:00:00+00:00,0,1,0,1,1,0
2023-02-02 21:00:00+00:00,1,1,0,0,1,0
2023-02-03 00:00:00+00:00,1,1,0,0,1,0
2023-02-03 15:00:00+00:00,1,1,0,0,1,0
2023-02-04 18:00:00+00:00,0,1,0,0,1,0
2023-02-05 06:00:00+00:00,0,0,0,1,1,0
2023-02-05 15:00:00+00:00,0,0,0,1,0,0
2023-02-06 00:00:00+00:00,0,0,0,1,0,0
2023-02-15 03:00:00+00:00,0,1,0,0,0,0
2023-02-15 21:00:00+00:00,0,1,0,1,1,0
2023-02-16 00:00:00+00:00,1,1,1,1,1,0
2023-02-16 06:00:00+00:00,1,1,1,1,1,1
2023-02-17 00:00:00+00:00,1,1,1,1,1,1
2023-02-17 03:00:00+00:00,1,1,1,1,1,1
2023-02-18 06:00:00+00:00,1,1,1,1,1,1
2023-02-19 03:00:00+00:00,1,0,1,1,1,1
2023-02-20 03:00:00+00:00,1,0,1,1,0,1
2023-02-20 06:00:00+00:00,1,0,1,0,0,1
2023-02-22 06:00:00+00:00,1,0,1,0,0,1
2023-02-23 21:00:00+00:00,0,0,1,0,0,1
2023-03-03 03:00:00+00:00,0,0,0,0,0,0
2023-03-07 03:00:00+00:00,0,0,0,1,0,0
2023-03-07 12:00:00+00:00,0,0,0,1,0,0
2023-03-09 00:00:00+00:00,0,0,0,1,0,0
2023-03-12 18:00:00+00:00,0,0,0,1,0,0
2023-03-13 03:00:00+00:00,0,1,0,1,0,0
2023-03-13 06:00:00+00:00,0,1,1,1,0,0
2023-03-13 18:00:00+00:00,0,1,1,1,0,1
2023-03-14 03:00:00+00:00,1,1,1,1,0,1
2023-03-14 15:00:00+00:00,1,1,1,1,0,1
2023-03-15 18:00:00+00:00,1,1,1,1,0,1
2023-03-16 12:00:00+00:00,1,1,1,1,0,1
2023-03-18 15:00:00+00:00,1,0,1,0,0,1
2023-03-21 00:00:00+00:00,1,0,1,0,0,1
2023-03-22 06:00:00+00:00,1,1,1,0,0,1
2023-03-22 12:00:00+00:00,1,1,1,0,0,1
2023-03-23 06:00:00+00:00,1,1,1,0,0,1
2023-03-24 21:00:00+00:00,0,1,1,0,0,1
2023-03-25 00:00:00+00:00,0,1,1,0,0,0
2023-03-25 03:00:00+00:00,0,0,1,0,0,0
2023-03-29 18:00:00+00:00,0,1,0,0,0,0
2023-03-30 06:00:00+00:00,0,1,0,0,0,0
2023-03-30 12:00:00+00:00,0,1,1,0,0,0
2023-03-30 21:00:00+00:00,0,1,1,0,0,0
2023-04-01 06:00:00+00:00,0,1,0,0,1,0
2023-04-01 21:00:00+00:00,0,1,0,0,1,0
2023-04-02 06:00:00+00:00,0,1,0,0,1,0
2023-04-02 15:00:00+00:00,0,1,0,0,0,0
2023-04-05 00:00:00+00:00,1,0,0,0,1,0
2023-04-06 09:00:00+00:00,1,0,0,0,1,0
2023-04-06 18:00:00+00:00,1,0,0,0,1,0
2023-04-07 21:00:00+00:00,1,0,0,0,0,0
2023-04-11 06:00:00+00:00,0,1,0,0,0,1
2023-04-11 15:00:00+00:00,0,1,0,0,1,1
2023-04-12 03:00:00+00:00,0,1,0,0,1,1
2023-04-12 09:00:00+00:00,0,1,0,0,1,1
2023-04-12 15:00:00+00:00,1,1,0,0,1,1
2023-04-12 18:00:00+00:00,1,1,0,0,1,1
2023-04-13 09:00:00+00:00,1,1,0,0,0,1
2023-04-13 12:00:00+00:00,0,1,0,0,1,1
2023-04-13 18:00:00+00:00,1,1,0,1,1,1
2023-04-13 21:00:00+00:00,1,1,0,1,1,1
